# Simulation 8 (Up to date)
# 618 data points written for 4 variables.
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
60.0551,225.0172,13.0913,52.3596
60.0742,224.7853,12.1156,42.8987
60.0975,224.5256,11.1458,34.2184
60.1268,224.2292,10.1844,26.3292
60.1647,223.8819,9.2336,19.2192
60.2168,223.4582,8.299,12.8948
60.2943,222.9042,7.3933,7.3526
60.4303,222.0685,6.5254,2.5881
60.6585,220.8481,6.047,0.9272
60.9131,219.5663,6.1407,0.6289
61.17,218.2783,6.2395,0.0222
61.4267,216.9906,6.2451,0.172
61.683,215.7036,6.2709,0.0156
61.9394,214.4168,6.2685,0.5165
62.1957,213.1306,6.1871,0.0685
62.4521,211.8437,6.1998,0.3017
62.7084,210.5575,6.1535,0.2724
62.9648,209.2713,6.1942,0.3297
63.2211,207.9853,6.2435,0.8674
63.4774,206.7006,6.1067,0.0962
63.7341,205.4136,6.1275,0.1348
63.9903,204.1281,6.1074,0.4015
64.2465,202.843,6.1648,0.2126
64.5028,201.5576,6.1343,0.788
64.759,200.2735,6.2464,0.5513
65.0155,198.9881,6.3349,0.4922
65.2718,197.7032,6.4132,0.4562
65.5281,196.4186,6.4868,0.027
65.7843,195.1338,6.4928,0.3758
66.0404,193.8498,6.5527,0.3892
66.2966,192.5657,6.4886,0.1431
66.5527,191.2815,6.4665,0.9464
66.8088,189.9992,6.6132,0.4669
67.0654,188.7144,6.5421,0.4757
67.3215,187.431,6.4641,0.6201
67.5776,186.1479,6.3631,0.3911
67.8339,184.8644,6.4275,0.5915
68.0899,183.5817,6.3315,1.2479
68.3461,182.3008,6.1285,1.1427
68.603,181.0178,5.9653,0.247
68.8598,179.7331,6.0123,1.1076
69.1157,178.4527,6.1608,1.2634
69.3724,177.1711,6.352,0.2865
69.6293,175.8865,6.4113,0.2333
69.8852,174.6046,6.3741,0.8864
70.1411,173.3241,6.2287,0.4929
70.3974,172.0416,6.1598,0.3517
70.6533,170.7599,6.1088,0.0168
70.9092,169.4785,6.1122,0.2995
71.165,168.1975,6.0674,0.1759
71.4208,166.9164,6.0933,0.5038
